"插件名称","作用说明"
"@astrojs/mdx","Astro 官方 MDX 集成插件，支持在 Astro 项目中使用 MDX 文件，方便混合使用 Markdown 和 React 组件。"
"@astrojs/partytown","延迟加载第三方脚本，提升页面性能，减少主线程压力。"
"@astrojs/react","Astro 中集成 React 支持，允许在 Astro 页面中使用 React 组件。"
"@astrojs/tailwind","Tailwind CSS 集成插件，方便在 Astro 项目中使用 Tailwind 快速构建样式。"
"astro","Astro 核心框架。"
"astro-icon","轻量级 SVG 图标组件库，方便在 Astro 中使用 SVG 图标。"
"react","React 库核心。"
"react-dom","React DOM 渲染库。"
"reading-time","计算文章的预计阅读时间，常用于博客显示“阅读时间”提示。"
"remark-autolink-headings","自动为 Markdown 标题添加锚点链接，方便目录跳转和 SEO 优化。"
"remark-callout","支持自定义提示框样式（如警告、提示、注意等），增强内容表达效果。"
"remark-capitalize-headings","自动将 Markdown 标题首字母大写，提升排版美观度。"
"remark-dropcap","实现首字母下沉效果，增强文章排版。"
"remark-embedder","自动将裸链接转换为嵌入内容（如 YouTube 视频、Twitter 推文等），提升内容互动性。"
"remark-footnotes","支持 Markdown 脚注语法，丰富内容注释方式。"
"remark-gfm","支持 GitHub Flavored Markdown 扩展语法，如表格、任务列表、删除线等。"
"remark-images","优化和处理 Markdown 中的图片，方便图片管理。"
"remark-link-card-plus","将 Markdown 中的裸链接自动转换成带标题、描述、缩略图的链接卡片，提升视觉效果。"
"remark-lint","Markdown 代码风格检查，保持文档格式规范统一。"
"remark-preset-lint-recommended","预设的 remark-lint 配置，包含常用的 Markdown 规范检查规则。"
"remark-prism","代码高亮插件，基于 PrismJS，支持多语言代码块高亮。"
"remark-smartypants","智能标点替换插件，将普通引号、破折号等替换为更美观的排版符号。"
"remark-toc","自动生成文章目录（Table of Contents），方便长文导航。"
"typescript","TypeScript 语言支持，提升代码质量和开发体验。"
"unified-prettier","结合 Prettier 和 unified 的格式化工具，统一格式化 Markdown 和相关文件。"
"zod","TypeScript 友好的数据验证库，用于运行时数据校验，提升类型安全。"